,inFocus5s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-07-28 01:11:13.636000+00:00,AT_O_20210727_000010,AT_O_20210727_000008,AT_O_20210727_000009,5,1627434673.6355245,1627434536.0474012,1627434586.2405498,54.14073524390987,83.20450863380101,30.585114089893178,-3.55605829361,2.07319800455,-1.25480702594,0.349999024513,0.219998993158,1.21473482087e-06,116965.11742944343
2021-07-28 01:30:12.950000+00:00,AT_O_20210727_000020,AT_O_20210727_000018,AT_O_20210727_000019,5,1627435811.7082868,1627435677.2457206,1627435728.2195191,91.62901803932134,84.0534724524563,-8.238561128035037,-3.44163802513,2.03039176865,-1.24165310019,0.350000288202,0.219999416853,-4.96294565523e-07,105326.44810408048
2021-07-28 01:41:53.805000+00:00,AT_O_20210727_000026,AT_O_20210727_000024,AT_O_20210727_000025,5,1627436513.804123,1627436378.8975644,1627436428.9712715,11.464079663110669,58.50561454558206,56.15290972222654,-3.65062169091,2.21594621027,-1.21065876577,0.350000191697,0.219999865726,-1.30626918404e-06,89772.43479980464
2021-07-28 01:52:06.604000+00:00,AT_O_20210727_000032,AT_O_20210727_000030,AT_O_20210727_000031,5,1627437126.6038983,1627436990.7219133,1627437041.1882365,18.389486158549143,48.994571861265996,35.68495086870298,-3.69072370594,2.3694137942,-1.19506751017,0.35,0.22,1.53182910613e-07,78701.6822836914
