,inFocus5s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_xastig_nm,zern_yastig_nm,zern_xcoma_nm,zern_ycoma_nm,zern_xtrefoil_nm,zern_ytrefoil_nm,zern_spherical_nm
2021-07-28 01:11:13.636000+00:00,AT_O_20210727_000010,AT_O_20210727_000008,AT_O_20210727_000009,5,1627434673.6355245,1627434536.0474012,1627434586.2405498,54.14073524390987,83.20450863380101,30.585114089893175,-3.55605829361,2.07319800455,-1.25480702594,0.349999024513,0.219998993158,1.21473482087e-06,116965.11742944345,15.095371180978805,-31.934403707108462,11.35819627779897,-28.07200984714817,-15.416355921191451,39.331656415854994,-1.350496455198242,19.25331182531976
2021-07-28 01:30:12.950000+00:00,AT_O_20210727_000020,AT_O_20210727_000018,AT_O_20210727_000019,5,1627435811.7082868,1627435677.2457206,1627435728.2195191,91.62901803932134,84.0534724524563,-8.238561128035037,-3.44163802513,2.03039176865,-1.24165310019,0.350000288202,0.219999416853,-4.96294565523e-07,105326.44810408048,-4.647760034030142,-7.689309139958794,89.68106954123236,17.339963873599736,-13.190389115055224,110.4648383563918,-4.3632914087433825,24.222056666513634
2021-07-28 01:41:53.805000+00:00,AT_O_20210727_000026,AT_O_20210727_000024,AT_O_20210727_000025,5,1627436513.804123,1627436378.8975644,1627436428.9712715,11.464079663110669,58.50561454558206,56.15290972222654,-3.65062169091,2.21594621027,-1.21065876577,0.350000191697,0.219999865726,-1.30626918404e-06,89772.43479980464,-9.347015278616016,-30.283495828650608,-105.06374286118395,-11.684833135589676,-1.1343572600627478,-14.770642946224244,45.55584787681705,25.238008353802666
2021-07-28 01:52:06.604000+00:00,AT_O_20210727_000032,AT_O_20210727_000030,AT_O_20210727_000031,5,1627437126.6038983,1627436990.721913,1627437041.1882365,18.389486158549143,48.994571861266,35.68495086870298,-3.69072370594,2.3694137942,-1.19506751017,0.35,0.22,1.53182910613e-07,78701.6822836914,-25.636997827707503,-71.12710408026751,-60.392921805806395,-2.6333097443623172,31.213048848771276,12.298932087036448,82.16618668873411,24.890575456872977
