,inFocus5s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-07-08 00:09:38.325000+00:00,AT_O_20210707_000104,AT_O_20210707_000102,AT_O_20210707_000103,5,1625702978.3248568,1625702845.9034111,1625702896.9252162,4.459042742897188,80.07017975885823,-27.65411992373907,-3.56266259996,2.32653663655,-1.23719511375,0.350000746207,0.220000641423,5.1473522498e-07,116133.38271005666
2021-07-08 00:13:27.287000+00:00,AT_O_20210707_000108,AT_O_20210707_000106,AT_O_20210707_000107,5,1625703207.285886,1625703076.8975775,1625703127.9380705,0.6436957208957299,74.70474376939191,-24.74789722967869,-3.59248763161,2.28089244286,-1.22646290549,0.349999978592,0.220000284437,3.49557374875e-07,114015.901629519
2021-07-08 00:20:11.279000+00:00,AT_O_20210707_000114,AT_O_20210707_000112,AT_O_20210707_000113,5,1625703611.2782867,1625703477.1083908,1625703527.3105159,1.9397139427030696,68.9920777224293,-21.568197696552755,-3.64948342276,2.29108000872,-1.22429200891,0.349999633036,0.220000718096,3.09168301991e-07,110365.47052504592
2021-07-08 00:23:58.607000+00:00,AT_O_20210707_000118,AT_O_20210707_000116,AT_O_20210707_000117,5,1625703838.6066728,1625703706.376841,1625703756.5139832,0.2716727398280636,65.32677517373901,-23.65024674783199,-3.62959174646,2.33201929911,-1.21626971677,0.349999654857,0.21999855698,-8.51177844202e-07,107768.96195288084
2021-07-08 00:29:22.188000+00:00,AT_O_20210707_000124,AT_O_20210707_000122,AT_O_20210707_000123,5,1625704162.1873536,1625704030.8338099,1625704080.9792502,0.9301807753753383,59.50836954852275,-19.752740281323494,-3.70463189437,2.2086964873,-1.19913537025,0.349999926814,0.220000317342,-4.96297478704e-07,102502.36518774416
2021-07-08 00:32:49.928000+00:00,AT_O_20210707_000128,AT_O_20210707_000126,AT_O_20210707_000127,5,1625704369.9276004,1625704237.034454,1625704287.7473,0.18513183913213047,53.26435965316355,-21.68943467476193,-3.60273626149,2.38664024154,-1.21454994373,0.350000986808,0.219999740515,2.04121934079e-07,95825.54929199221
2021-07-08 00:36:27.981000+00:00,AT_O_20210707_000132,AT_O_20210707_000130,AT_O_20210707_000131,5,1625704587.9805753,1625704453.9232948,1625704504.457483,0.2137750352538241,49.457021334758956,-20.181737788488366,-3.47651034062,2.25961153134,-1.226842233345,0.35000019651,0.220000186282,-1.10109614412e-06,90941.65369011374
2021-07-08 00:47:37.112000+00:00,AT_O_20210707_000143,AT_O_20210707_000141,AT_O_20210707_000142,5,1625705257.111169,1625705125.4178483,1625705175.77392,1.6192726813300395,43.03581834575685,-23.629645916323643,-2.85633356583,2.02450434628,-1.3533881712,0.34999954157,0.219999905549,5.00756414976e-07,81925.26874316408
2021-07-08 00:54:27.979000+00:00,AT_O_20210707_000150,AT_O_20210707_000148,AT_O_20210707_000149,5,1625705667.9779477,1625705536.3080661,1625705586.5493112,0.606068846975355,39.03964321946128,-21.698728870847845,-2.58683729623,2.09216408857,-1.39564980671,0.349999402155,0.219999713348,6.25309401479e-07,75838.99341796876
2021-07-08 01:05:13.440000+00:00,AT_O_20210707_000161,AT_O_20210707_000159,AT_O_20210707_000160,5,1625706313.4394212,1625706179.2820144,1625706229.9934466,0.8178930914148748,29.304828596647198,-19.683208554137988,-2.39504298714,2.451124504625,-1.42466392612,0.349999656586,0.219999996275,-1.45862711408e-07,58747.44559716797
2021-07-08 01:18:42.531000+00:00,AT_O_20210707_000170,AT_O_20210707_000168,AT_O_20210707_000169,5,1625707122.5309134,1625706991.8394701,1625707041.9675164,1.5838303558563347,24.45043575010466,-20.584566360214666,-2.46395265523,2.40558394903,-1.4236466806,0.349999025335,0.219999752452,8.44859035722e-07,49456.85749462889
2021-07-08 01:25:20.771000+00:00,AT_O_20210707_000177,AT_O_20210707_000175,AT_O_20210707_000176,5,1625707520.7707663,1625707388.2385707,1625707438.1204681,0.5624291144293966,35.07396757743438,-22.133314507704927,-2.60213779723,2.22640130651,-1.41607150975,0.349999043435,0.219999681512,5.01786798171e-07,69437.94439049545
2021-07-08 01:32:57.327000+00:00,AT_O_20210707_000185,AT_O_20210707_000183,AT_O_20210707_000184,5,1625707977.3266704,1625707845.1028924,1625707895.8420446,0.9177584648551762,44.56096677762381,-24.51489029652251,-3.23596784391,2.1423504296,-1.31177649233,0.349999869847,0.22000031095,7.15261218473e-08,84270.80852661135
2021-07-08 01:40:36.645000+00:00,AT_O_20210707_000193,AT_O_20210707_000191,AT_O_20210707_000192,5,1625708436.6449454,1625708303.7427807,1625708355.2401657,1.2798776837392807,55.434432131569835,-24.183518124883253,-3.97165570635,2.3185228988,-1.18677035541,0.350000554465,0.220000107154,-6.11280858264e-07,98417.45328251763
2021-07-08 01:46:31.326000+00:00,AT_O_20210707_000199,AT_O_20210707_000197,AT_O_20210707_000198,5,1625708791.3253624,1625708657.4262486,1625708708.6496089,1.1545713035930198,64.82028568157894,-21.847325625693294,-3.99962559504,2.35035961521,-1.20700010479,0.34999953544,0.219998954887,9.21561945459e-07,107412.78004940254
2021-07-08 01:50:50.320000+00:00,AT_O_20210707_000203,AT_O_20210707_000201,AT_O_20210707_000202,5,1625709050.3197477,1625708918.8227751,1625708968.9603117,0.7717756040379754,76.54341543156828,-19.487442379693384,-3.87839097411,2.25940250983,-1.23283851438,0.349999383229,0.220000370831,7.47509543413e-07,114838.7000539551
