,inFocus2s,inFocus20s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-07-09 05:52:03.489000+00:00,AT_O_20210708_000321,AT_O_20210708_000322,AT_O_20210708_000323,AT_O_20210708_000324,20,1625809989.4613373,1625809994.0648336,1625810044.259852,-8.038435997798224,80.86234501738276,30.933837257071573,-3.75853044253,2.27802427663,-1.24717412846,0.350001019775,0.219999969002,5.33722076699e-07,116376.75853606578
2021-07-09 05:56:20.764000+00:00,AT_O_20210708_000327,AT_O_20210708_000328,AT_O_20210708_000329,AT_O_20210708_000330,20,1625810257.0877786,1625810262.0387003,1625810312.186563,-18.300687717638212,71.00491918463842,46.525614364189096,-3.7365667746,2.263325106,-1.25229794267,0.350000039861,0.219998360257,1.76234519378e-06,111707.60631007778
2021-07-09 06:01:34.751000+00:00,AT_O_20210708_000333,AT_O_20210708_000334,AT_O_20210708_000335,AT_O_20210708_000336,20,1625810552.1133335,1625810556.2746022,1625810606.4907389,-29.386301911879997,60.33200354803001,44.83927995826582,-3.90779445123,2.24645685602,-1.22990871892,0.34999722544,0.220000112609,7.06703677865e-07,103257.44745507815
2021-07-09 06:05:15.935000+00:00,AT_O_20210708_000339,AT_O_20210708_000340,AT_O_20210708_000341,AT_O_20210708_000342,20,1625810768.331922,1625810772.6895897,1625810823.2176104,-40.69351515695191,49.13973993500491,42.528934417413545,-3.63481547963,2.2457038681,-1.26767559782,0.349999996275,0.219999996275,2.80462648144e-07,90574.58898016239
2021-07-09 06:08:34.108000+00:00,AT_O_20210708_000345,AT_O_20210708_000346,AT_O_20210708_000347,AT_O_20210708_000348,20,1625810973.868507,1625810978.6834893,1625811029.3975136,-48.29313660277095,41.54798756294636,43.0059231903727,-2.98937330874,2.26637043492,-1.38904832251,0.35000009043,0.219997954697,0.0,79677.13622496363
2021-07-09 06:12:07.519000+00:00,AT_O_20210708_000351,AT_O_20210708_000352,AT_O_20210708_000353,AT_O_20210708_000354,20,1625811201.9044175,1625811205.964397,1625811256.9867196,-58.03295376892664,31.78727837713885,43.870910353353416,-2.50882186592,2.33155062896,-1.4380586417,0.34999859422,0.219998975432,6.0120515348e-07,63311.83441114239
2021-07-09 06:16:06.535000+00:00,AT_O_20210708_000357,AT_O_20210708_000358,AT_O_20210708_000359,AT_O_20210708_000360,20,1625811427.1585596,1625811431.504361,1625811482.0665896,-63.404744110263124,26.4396357073565,43.48036197547772,-2.54405711782,2.39025684173,-1.42440912894,0.349999996275,0.219999996275,1.07913400027e-06,53495.030558837905
2021-07-09 06:20:26.035000+00:00,AT_O_20210708_000363,AT_O_20210708_000364,AT_O_20210708_000365,AT_O_20210708_000366,20,1625811680.3682325,1625811685.187012,1625811735.872937,-55.20855559929823,34.668610592278554,46.04199171049279,-2.54334447707,2.3070906614,-1.4449162052,0.349999185845,0.220000398448,5.32380704024e-07,68562.33676879882
2021-07-09 06:24:20.241000+00:00,AT_O_20210708_000369,AT_O_20210708_000370,AT_O_20210708_000371,AT_O_20210708_000372,20,1625811927.8999212,1625811932.426059,1625811982.9011497,-42.794389767632204,46.941707481524006,42.50956187337008,-3.47088290768,2.24946643999,-1.29893150297,0.350000355484,0.220000681831,1.23219942811e-06,87528.64995825196
2021-07-09 06:28:01.373000+00:00,AT_O_20210708_000375,AT_O_20210708_000376,AT_O_20210708_000377,AT_O_20210708_000378,20,1625812142.7812333,1625812147.8773794,1625812198.310682,-34.57407562508597,55.16061544259719,46.95247320358089,-3.89400346619,2.24271193029,-1.22493780266,0.350000511449,0.220001148455,-1.48933537714e-06,97933.25243207144
2021-07-09 06:31:54.262000+00:00,AT_O_20210708_000381,AT_O_20210708_000382,AT_O_20210708_000383,AT_O_20210708_000384,20,1625812362.8165064,1625812367.3755848,1625812418.055243,-23.55331459811714,66.0842885481871,40.905031763283965,-3.80970630749,2.25486388725,-1.24664740202,0.350000333567,0.219999996275,-5.55717719539e-07,108309.80335620117
2021-07-09 06:36:14.371000+00:00,AT_O_20210708_000387,AT_O_20210708_000388,AT_O_20210708_000389,AT_O_20210708_000390,20,1625812655.6744027,1625812660.1573653,1625812710.214846,-12.988210151335807,76.08908597964938,47.91950446788658,-3.72157690759,2.27125923275,-1.25048349014,0.35000015127,0.219999171685,-5.19697956242e-07,114531.20486767578
2021-07-09 06:39:59.312000+00:00,AT_O_20210708_000393,AT_O_20210708_000394,AT_O_20210708_000395,AT_O_20210708_000396,20,1625812856.5319424,1625812861.5136223,1625812912.4833744,-6.729538850814256,82.15197228537588,51.55758580470669,-3.77217858139,2.27940100762,-1.24666696102,0.349999996275,0.219999996275,0.0,116804.38871687352
