,Unnamed: 0,intra,extra,in_focus,az,el,rot_pos,x,y,z,u,v,w,m1_pressure,dz,off_u,off_u_cumul,zern_defocus_nm,zern_xastig_nm,zern_yastig_nm,zern_xcoma_nm,zern_ycoma_nm,zern_xtrefoil_nm,zern_ytrefoil_nm,zern_sphereical_nm
0,0,AT_O_20210608_000394.fits,AT_O_20210608_000395.fits,AT_O_20210608_000393.fits,149.55442396865834,52.84147109132896,-45.14158860159051,-5.23682965025,0.487505474581,0.405920804438,0.3833338775,0.22000008699,-7.78234080011e-07,95597.99095805154,,0.016666667535901,0.0333333342025677,20.574640434215205,65.84195729963112,-161.3519033249,-46.78124914859509,-23.973934518875165,-19.53125616687219,17.048603803184296,1.0896083450380465
1,1,AT_O_20210608_000397.fits,AT_O_20210608_000398.fits,AT_O_20210608_000396.fits,149.95960228559693,53.20394567254316,-45.81488272753397,-5.25050829223,0.483031121011,0.407238515211,0.41666647062,0.2200003525345,-1.36935805287e-08,95889.63560459974,,0.0333333350718021,0.0666666692743698,29.93377327113304,84.79129791984953,-154.17420211521713,-90.35843201959035,-32.17065981432683,-38.55205400610736,16.286436131903763,0.19559989679798065
2,2,AT_O_20210608_000400.fits,AT_O_20210608_000401.fits,AT_O_20210608_000399.fits,150.2993609183192,53.49515348022681,-46.37483308947142,-5.26173168312,0.4792119113445,0.4083038914175,0.483333956538,0.22,-8.63198593703e-07,96253.58301912952,,0.0666666701436042,0.1333333394179741,14.522550083096846,50.02308715746025,-137.91804250207372,-158.105908909808,-42.74851395592901,-29.637248924693235,19.844010898721635,1.7856938141327139
3,3,AT_O_20210608_000404.fits,AT_O_20210608_000405.fits,AT_O_20210608_000403.fits,151.13510791212792,54.16648500916387,-47.73650647310515,-5.28395513707,0.471140927536,0.410285246387,0.283333787159,0.220000050342,1.14872296784e-06,97180.79338491937,,-0.0666666701436042,0.0666666692743698,7.399295672505337,79.17298438027464,-115.8978893506792,81.7301304588897,3.1784515918835066,-41.205905060539614,22.656334013916435,1.3601870156820506
4,4,AT_O_20210608_000407.fits,AT_O_20210608_000408.fits,AT_O_20210608_000406.fits,151.49932746258386,54.44098220420725,-48.3238723008958,-5.293575248645,0.4674220211195,0.411014188212,0.233333752637,0.219999623889,3.13057225222e-07,97474.63218994136,,-0.050000000745058,0.0166666685293118,5.5783733553459625,115.7681343571316,-159.55820311279174,136.79848496305945,20.39749913837102,-39.192450707781276,13.492269797729815,6.839399542929458
