,intra,extra,in_focus,az,el,rot_pos,x,y,z,u,v,w,m1_pressure,dz,off_u,off_u_cumul
0,AT_O_20210608_000394.fits,AT_O_20210608_000395.fits,AT_O_20210608_000393.fits,149.55442396865834,52.84147109132896,-45.14158860159051,-5.23682965025,0.487505474581,0.405920804438,0.3833338775,0.22000008699,-7.78234080011e-07,95597.99095805154,,0.01666666753590107,0.03333333420256773
1,AT_O_20210608_000397.fits,AT_O_20210608_000398.fits,AT_O_20210608_000396.fits,149.95960228559693,53.203945672543156,-45.81488272753397,-5.25050829223,0.483031121011,0.407238515211,0.41666647062,0.2200003525345,-1.36935805287e-08,95889.63560459974,,0.03333333507180214,0.06666666927436987
2,AT_O_20210608_000400.fits,AT_O_20210608_000401.fits,AT_O_20210608_000399.fits,150.2993609183192,53.49515348022681,-46.37483308947142,-5.26173168312,0.47921191134450003,0.4083038914175,0.483333956538,0.22,-8.63198593703e-07,96253.58301912952,,0.06666667014360428,0.13333333941797415
3,AT_O_20210608_000404.fits,AT_O_20210608_000405.fits,AT_O_20210608_000403.fits,151.13510791212792,54.16648500916387,-47.73650647310515,-5.28395513707,0.471140927536,0.410285246387,0.283333787159,0.220000050342,1.14872296784e-06,97180.79338491935,,-0.06666667014360428,0.06666666927436987
4,AT_O_20210608_000407.fits,AT_O_20210608_000408.fits,AT_O_20210608_000406.fits,151.49932746258386,54.44098220420725,-48.3238723008958,-5.293575248645,0.4674220211195,0.411014188212,0.233333752637,0.219999623889,3.13057225222e-07,97474.63218994137,,-0.05000000074505806,0.016666668529311812
