,inFocus,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,hexXoffset,hexYoffset,hexUoffset,hexVoffset,hexZoffset
2021-06-09 06:03:59.142000+00:00,AT_O_20210608_000453,AT_O_20210608_000454,AT_O_20210608_000455,30,1623218639.1414285,1623218667.1641142,1623218717.7800407,-38.45806678335894,56.54394903269798,127.19304235520465,-5.34822994248,0.942105043574,1.00785568397,0.349999996275,0.219999790024,-6.759682342125e-07,99773.1612995605,0.0,0.5,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 06:06:23.925000+00:00,AT_O_20210608_000456,AT_O_20210608_000457,AT_O_20210608_000458,30,1623218783.9249716,1623218801.1277072,1623218851.5243223,-38.6076531745473,56.92674659033946,127.35665724395862,-5.35619063932,1.43750236721,1.0105758017425,0.349999963119,0.219999996275,6.60048820401e-07,100199.03392651363,0.0,1.0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 06:08:36.451000+00:00,AT_O_20210608_000459,AT_O_20210608_000460,AT_O_20210608_000461,30,1623218916.450286,1623218937.8731422,1623218988.4655654,-38.76988686844503,57.31867329617671,127.53315355299856,-5.36366056132,2.43284831179,0.880924347273,0.349998996072,0.219999403168,-3.75752839072e-07,100551.47133262482,0.0,2.0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 06:11:00.084000+00:00,AT_O_20210608_000462,AT_O_20210608_000463,AT_O_20210608_000464,30,1623219060.0838468,1623219084.3619022,1623219134.4998426,-38.952839013186164,57.73528379043302,127.73112236677582,-5.37090332415,4.42793910118,1.1128340302800002,0.349999996275,0.220000132863,-7.6071847961e-08,100982.14298925783,0.0,4.0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 06:14:45.493000+00:00,AT_O_20210608_000466,AT_O_20210608_000467,AT_O_20210608_000468,30,1623219285.4927783,1623219303.8504908,1623219354.4042938,-39.24920690878964,58.36086228331231,128.04944407163973,-5.38046894453,-0.579374890536,0.867283217844,0.349999654802,0.220000090004,-9.27955317293e-07,101609.8818158318,0.0,-1.0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 06:16:52.113000+00:00,AT_O_20210608_000469,AT_O_20210608_000470,AT_O_20210608_000471,30,1623219412.1122723,1623219434.5539649,1623219484.2756164,-39.43643790557952,58.72922341366939,128.24927773593836,-5.38540003364,-1.58365023294,0.980494458844,0.349999996275,0.219998868962,-1.81661358907e-09,101956.60015820312,0.0,-2.0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 06:18:44.901000+00:00,AT_O_20210608_000472,AT_O_20210608_000473,AT_O_20210608_000474,2,1623219524.9007895,1623219542.5452204,1623219592.454908,-39.59922429993749,59.034432263575724,128.42218189655688,-5.38911001685,0.412842549755,1.0523695592,0.349999337603,0.219999996275,0.0,102251.80732006834,0.0,0.0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
