,expectedElevation,measuredElevation,elevationCalculatedAngle1,times_x,nasmyth2CalculatedAngle,times_y,position0,position1,position2,position3,position4,imageName,requestedExposureTime,additionalKeys,additionalValues,reportedPosition0,reportedPosition1,reportedPosition2,reportedPosition3,reportedPosition4,reportedPosition5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid
2021-07-07 23:54:04.165000+00:00,67.8371701530923,67.92200221445273,67.9872929139965,1625702007.1626651,13.971553454452078,1625702007.1596708,-1.134,0.397,-21.686,0.098,8.679,AT_O_20210707_000094,5.0,groupId:imageType,2021-07-07T23\:53\:51.383:OBJECT,-3.78607807158,2.19901763617,-1.22447983676,0.350000244969,0.219998084694,-1.51062714228e-06,-0.0,-0.0,0.0,0.0,0.0,2126.8242284791436,1165.3487614405126
2021-07-08 00:09:38.336000+00:00,79.82047739231126,79.89607464919263,79.96266281446151,1625702941.2688327,5.486703077709535,1625702941.328831,-1.169,0.398,-21.685,0.099,8.685,AT_O_20210707_000104,5.0,groupId:imageType,2021-07-08T00\:09\:25.587:OBJECT,-3.57084030169,2.25233202319,-1.23293568687,0.350000746207,0.22000001254,2.28012832157e-06,-1.3291014286030232,-0.6185641655570255,0.002667666293628517,-0.03446827135542742,0.0009848077530122089,2129.780012548202,2084.715404367985
2021-07-08 00:13:27.307000+00:00,74.4773640719097,74.55348422666596,74.61120343048242,1625703170.270853,1.291752541816095,1625703170.3018534,-1.169,0.398,-21.684,0.099,8.682,AT_O_20210707_000108,5.0,groupId:imageType,2021-07-08T00\:13\:14.538:OBJECT,-3.49970897513,2.22404656843,-1.22442315084,0.350000926638,0.219999538204,3.49557374875e-07,-0.5060323756722611,0.04436349408933096,0.0019999283066374253,-0.03446827135542742,0.0009848077530122089,2098.61930258998,2075.219552291899
2021-07-08 00:20:11.296000+00:00,68.7763053649446,68.85347107583473,68.90475770672492,1625703574.276651,2.449976215517381,1625703574.2906392,-1.142,0.403,-21.685,0.099,8.681,AT_O_20210707_000114,5.0,groupId:imageType,2021-07-08T00\:19\:58.525:OBJECT,-3.61060327155,2.29894141732,-1.22603548841,0.349999336348,0.220000781493,1.34816052282e-06,-0.26582028572380445,-0.12371283311133323,0.0013335332587256442,-0.007878462024097671,0.005908846518073253,2051.5923491287535,1853.3315825028228
2021-07-08 00:23:58.610000+00:00,65.10064609748818,65.17821752044992,65.2340058072441,1625703801.577658,0.6692136175988708,1625703801.6036556,-1.124,0.411,-21.684,0.099,8.682,AT_O_20210707_000118,5.0,groupId:imageType,2021-07-08T00\:23\:45.857:OBJECT,-3.67498750616,2.35949906238,-1.21680157647,0.350000339234,0.219997021046,1.62902862086e-06,-0.5060323756722611,0.04436349408933096,0.0019999283066374253,0.00984807753012187,0.01378730854217087,2079.7720156453383,1744.2793624638905
2021-07-08 00:29:22.201000+00:00,59.30512915032398,59.38378023593559,59.431427477204124,1625704125.1791122,1.2650008596392581,1625704125.1911087,-1.102,0.43,-21.684,0.098,8.682,AT_O_20210707_000124,5.0,groupId:imageType,2021-07-08T00\:29\:09.435:OBJECT,-3.74225319725,2.31300249012,-1.20845159807,0.349999926814,0.219999755517,-4.96297478704e-07,-0.7462444656189612,0.2124398212907673,0.0016663233545495745,0.03151384809639047,0.03249865584940284,2034.5566767396274,1679.486195780372
2021-07-08 00:32:49.935000+00:00,53.045754031890574,53.126784626824495,53.17839941223792,1625704332.880037,0.4518487401364837,1625704332.9260437,-1.077,0.45,-21.683,0.1,8.719,AT_O_20210707_000128,5.0,groupId:imageType,2021-07-08T00\:32\:37.184:OBJECT,-3.65129632304,2.212387062,-1.20650264727,0.35000139727,0.219999082114,2.04121934079e-07,-10.075562653733243,-4.409298497264852,0.015007125620759355,0.0561340419216958,0.05219481090964702,2055.201064641816,1481.0068157713158
2021-07-08 00:36:27.989000+00:00,49.24545669769665,49.32792489647602,49.37561219772033,1625704550.9820116,0.46569676174840424,1625704550.9810183,-1.064,0.459,-21.678,0.125,8.791,AT_O_20210707_000132,5.0,groupId:imageType,2021-07-08T00\:36\:15.230:OBJECT,-3.47902922933,2.1143425749,-1.23653677465,0.350001566742,0.219999231613,-1.07830624447e-06,-23.081279909954922,-16.05958482800932,0.04902595299713201,0.0689365427108544,0.061058080686756895,2017.7553140537489,1203.6465808506457
2021-07-08 00:47:37.117000+00:00,42.84081452957861,42.89130595144951,42.94495573481254,1625705220.0870004,1.807591403281549,1625705220.1139874,-1.046,0.469,-21.655,0.318,8.944,AT_O_20210707_000143,5.0,groupId:imageType,2021-07-08T00\:47\:24.384:OBJECT,-2.75540003416,2.08124481521,-1.3569323899,0.349998507203,0.220000019373,-3.29754524823e-07,-16.801861821969403,-60.71522703569723,0.17209811848639553,0.08666308226507416,0.07090615821687893,2019.2463963812852,2230.7046586790098
2021-07-08 00:54:27.990000+00:00,38.87153948603417,38.90349728034329,38.955257891022484,1625705630.89081,0.7898629553528735,1625705630.9898193,-1.04,0.475,-21.644,0.394,8.998,AT_O_20210707_000150,5.0,groupId:imageType,2021-07-08T00\:54\:15.224:OBJECT,-2.651691739,2.18318225192,-1.39673207609,0.349999355674,0.220000290784,1.6834123603e-06,-12.618348282852693,-76.95983830991435,0.21912437049730735,0.09257192878314742,0.07681500473495219,2226.5173072572293,2545.7168154924707
