,inFocus,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,hexXoffset,hexYoffset,hexUoffset,hexVoffset,hexZoffset
2021-06-09 05:47:53.174000+00:00,AT_O_20210608_000433,AT_O_20210608_000434,AT_O_20210608_000435,30,1623217673.1730103,1623217693.5430202,1623217743.331211,-37.58777495845658,53.70422321697406,126.22077600478632,-4.769056227,0.476623503779,0.581837549815,0.349999996275,0.219999996275,-3.24470150752e-07,96627.72162548827,0.5,0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 05:50:24.565000+00:00,AT_O_20210608_000436,AT_O_20210608_000437,AT_O_20210608_000438,30,1623217824.5641348,1623217842.618819,1623217893.525759,-37.6962237839696,54.13858465954699,126.34415899107675,-4.28375347499,0.471219663859,0.405076679037,0.350000475523,0.220000272814,2.11733776116e-07,97126.38668715533,1.0,0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 05:52:40.276000+00:00,AT_O_20210608_000439,AT_O_20210608_000440,AT_O_20210608_000441,30,1623217960.275788,1623217980.3810978,1623218030.4525115,-37.80308164730086,54.5374180718296,126.46504864215153,-3.296452071125,0.466271998711,0.5415745671865,0.3500003597915,0.220000143719,0.0,97526.599027832,2.0,0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 05:56:10.484000+00:00,AT_O_20210608_000443,AT_O_20210608_000444,AT_O_20210608_000445,30,1623218170.4830499,1623218185.0873353,1623218235.724709,-37.975667452061316,55.1308221532937,126.658904574505,-6.313868378615,0.458974262463,0.46205122100249996,0.349999996275,0.219999996275,-1.55136866958e-07,98173.99275244141,-1.0,0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 05:58:18.802000+00:00,AT_O_20210608_000446,AT_O_20210608_000447,AT_O_20210608_000448,30,1623218298.8014767,1623218315.4136992,1623218365.4973192,-38.09367492570949,55.50631836196116,126.7905572903069,-7.32401903778,0.45438785112549995,0.42792664282750004,0.350001268465,0.219999638647,0.0,98591.28059521489,-2.0,0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
2021-06-09 06:00:28.153000+00:00,AT_O_20210608_000449,AT_O_20210608_000450,AT_O_20210608_000451,30,1623218428.1524115,1623218444.8246944,1623218494.55168,-38.21814600853677,55.87968806550946,126.92868771257825,-8.33343587751,0.449863965163,0.507935279557,0.349999276618,0.219999380024,-9.58843606951e-07,99087.43062207031,-3.0,0,-3.725290298461914e-09,-3.725290298461914e-09,0.0
