,intra,extra,inFocus2s,inFocus20s,inFocusExpTime2s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-08-18 04:16:51.585000+00:00,AT_O_20210817_000332,AT_O_20210817_000333,AT_O_20210817_000334,AT_O_20210817_000335,2,15,1629260530.895604,1629260188.9592845,1629260238.9352863,1.0492390535766025,33.782534898734596,24.768157528090814,-4.01645322006,2.33721239753,-1.16984808045,0.349999824344,0.219999805382,-5.155656513e-07,56936.073311692824
2021-08-18 06:24:15.352000+00:00,AT_O_20210817_000359,AT_O_20210817_000360,AT_O_20210817_000361,AT_O_20210817_000362,2,15,1629268081.993776,1629267832.7121959,1629267882.6135013,1.3899057723625448,30.94240104696888,43.76758640830434,-4.09415508105,2.30605595167,-1.17946084497,0.349999408863,0.22000024911,2.87630146186e-08,51025.895132568345
2021-08-18 06:37:07.870000+00:00,AT_O_20210817_000368,AT_O_20210817_000369,AT_O_20210817_000370,AT_O_20210817_000371,2,15,1629268790.3461125,1629268605.225445,1629268655.2313354,2.6771637044841192,41.04343245170021,42.73220005755313,-4.09283189723,2.21682459829,-1.19182724424,0.350000188724,0.219998707816,2.93122256258e-08,70421.57377783202
2021-08-18 06:49:13.821000+00:00,AT_O_20210817_000375,AT_O_20210817_000376,AT_O_20210817_000377,AT_O_20210817_000378,2,15,1629269525.3792922,1629269331.1812973,1629269381.2347262,1.6910813756275456,54.71313159605197,38.55688968423812,-4.10588854044,2.27152210261,-1.21111595524,0.35000020438,0.220000408422,4.91991787822e-07,92698.96247729493
2021-08-18 06:55:15.275000+00:00,AT_O_20210817_000380,AT_O_20210817_000381,AT_O_20210817_000382,AT_O_20210817_000383,2,15,1629269896.1348314,1629269692.5904377,1629269742.7424366,1.088427621693186,64.44313831731259,38.5187137212893,-3.95993216149,2.34344803734,-1.23256977522,0.350000155516,0.220000330886,-2.97054478751e-07,105846.51736621093
2021-08-18 07:00:41.732000+00:00,AT_O_20210817_000385,AT_O_20210817_000386,AT_O_20210817_000387,AT_O_20210817_000388,2,15,1629270217.6105382,1629270019.0903983,1629270070.0608428,1.313247177570684,76.06289932497592,36.910504356734556,-3.86828946323,2.33802701051,-1.25419466846,0.349999942385,0.219999388867,-7.74153735969e-07,117438.46958989163
