,inFocus20s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,position0,position1,position2,position3,position5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-08-18 10:12:13.561000+00:00,AT_O_20210817_000525,15,1629281533.5600748,1629281515.9334805,1629281533.5600748,0.2281560319688116,35.95873952455997,40.32899964364889,-4.17433257318,2.3611565307,-1.18130131368,0.349999094033,0.220002761818,1.02675866298e-06,61035.66464572483,0.028,0.15,0.081,11.869,4.972,-0.0,-0.0,0.0,0.0,0.0
2021-08-18 10:12:52.521000+00:00,AT_O_20210817_000526,15,1629281572.520084,1629281554.8728666,1629281572.520084,0.2286385666298241,41.06488501868101,39.94769949229735,-4.20320837341,2.36116079164,-1.19617328378,0.350000044823,0.220000347147,-1.57122281321e-06,70636.73577609593,0.025,0.148,0.081,11.87,4.97,0.7718526613939376,0.07934933902234435,-0.0003334615653637707,-0.002954423259036623,-0.0019696155060244178
2021-08-18 10:13:31.559000+00:00,AT_O_20210817_000527,15,1629281611.5587626,1629281593.933457,1629281611.5587626,0.2316112036573673,46.82948592497354,39.485007708394896,-4.19666816013,2.3611534664,-1.21186556037,0.349998008477,0.219999413215,1.19483645162e-06,80438.74977145724,0.019,0.143,0.082,11.871,4.968,1.5693135185403286,0.4504878383569246,-0.00033406134154010953,-0.008863269777109873,-0.006893654271085462
2021-08-18 10:14:10.219000+00:00,AT_O_20210817_000528,15,1629281650.218042,1629281632.577741,1629281650.218042,0.2312247420435168,52.16713364176052,39.19312951302324,-4.16114537613,2.36116110561,-1.22522423505,0.35000110756,0.219999819784,-8.82327491603e-07,88912.48350219727,0.01,0.136,0.082,11.872,4.966,2.3411661798673764,0.5298371773787139,-0.0006675229069035838,-0.017726539554219746,-0.013787308542170897
2021-08-18 10:14:49.396000+00:00,AT_O_20210817_000529,15,1629281689.395581,1629281671.7653058,1629281689.395581,0.2400487509795413,58.22823132912728,39.297724494575554,-4.0999704887,2.36116095998,-1.2382510736,0.350000671407,0.220000128988,-4.37506567319e-07,97804.00071139864,-0.008,0.123,0.083,11.872,4.962,3.4300555183243033,1.316477670122778,-0.0016687941526196174,-0.03545307910843949,-0.026589809331329612
2021-08-18 10:15:28.068000+00:00,AT_O_20210817_000530,15,1629281728.0667408,1629281710.430555,1629281728.0667408,0.2535765963265375,63.57639390567702,38.97892989639271,-4.03531419878,2.36115728025,-1.24824159114,0.349998820451,0.220000294876,-1.25194208403e-07,104791.64564480251,-0.034,0.106,0.084,11.873,4.957,5.024977231991886,2.0587546687434175,-0.0026699937049734068,-0.061058080686756895,-0.04333154113253715
2021-08-18 10:16:07.355000+00:00,AT_O_20210817_000531,15,1629281767.3547556,1629281749.7230206,1629281767.3547556,0.2670705787814869,69.3455822104184,40.58716886166965,-3.96612261537,2.36115549588,-1.25698203463,0.349998583337,0.219999927276,8.76153992646e-07,111282.6028333876,-0.066,0.085,0.085,11.876,4.952,7.100323124424991,2.4648790129624483,-0.0030039833531512725,-0.09257192878314756,-0.06401250394579351
2021-08-18 10:16:45.871000+00:00,AT_O_20210817_000532,15,1629281805.8696508,1629281788.222879,1629281805.8696508,0.3021515630114461,74.63781208633252,40.31779396458701,-3.90976828519,2.36115479415,-1.26319604087,0.350000155473,0.220001174436,2.41300184848e-06,116201.16817914178,-0.103,0.071,0.088,11.879,4.948,8.96106512166163,3.330868844573061,-0.0023387161642303388,-0.12900981564459926,-0.07779981248796443
2021-08-18 10:17:24.904000+00:00,AT_O_20210817_000533,15,1629281844.9036217,1629281827.271072,1629281844.9036217,0.3931098155622344,79.86538112997044,38.986645717660494,-3.86641104158,2.36115838414,-1.26758005013,0.349999996081,0.220000751501,8.90086089346e-07,119769.62136086856,-0.156,0.061,0.089,11.881,4.943,10.796198921735195,3.9050695158655517,-0.0030063107644961655,-0.18120462655424627,-0.08764789001808651
2021-08-18 10:18:43.467000+00:00,AT_O_20210817_000534,15,1629281923.4666076,1629281905.8189192,1629281923.4666076,0.3505384522116704,80.03766716359921,37.597161262474806,-3.86540419214,2.36115850261,-1.2676800698,0.350000322946,0.220000050173,1.71076380317e-06,119791.40512695312,-0.157,0.061,0.089,11.881,4.943,10.796198921735195,3.9050695158655517,-0.0030063107644961655,-0.18218943430725848,-0.08764789001808651
