,intra,extra,inFocus2s,inFocus20s,inFocusExpTime2s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_astig_oblique_nm,zern_astig_vertical_nm,zern_coma_vertical_nm,zern_coma_horizontal_nm,zern_trefoil_vertical_nm,zern_trefoil_oblique_nm,zern_spherical_nm
2021-08-18 09:05:33.384000+00:00,AT_O_20210817_000468,AT_O_20210817_000469,AT_O_20210817_000470,AT_O_20210817_000471,2,15,1629277858.2768552,1629277510.745226,1629277560.5165532,-1.1113665764177294,29.184602703011777,239.54066622606123,-4.08004464423,2.26076822467,-1.17386807671,0.34999819775,0.2199999487,1.50074150337e-06,47248.21135302735,15.08545361914972,-135.67310655199714,-20.409344274376622,24.86044916293423,12.454335287933663,33.831262646092576,41.00066720267166,15.821589251282898
2021-08-18 09:14:33.401000+00:00,AT_O_20210817_000473,AT_O_20210817_000474,AT_O_20210817_000475,AT_O_20210817_000476,2,2,1629278380.456741,1629278050.7359817,1629278101.5497715,-0.6678414560711826,37.72042241534771,240.03416564010575,-4.12885592567,2.27299637028,-1.1920601271,0.350000380532,0.220001530429,2.80471341006e-07,64562.83318996056,-44.27618274917821,-153.06319668399055,-51.96660943316255,-10.897990470891562,-8.833449360389631,13.579488789068058,48.71424450088609,18.428894159541567
2021-08-18 09:22:51.129000+00:00,AT_O_20210817_000479,AT_O_20210817_000480,AT_O_20210817_000481,AT_O_20210817_000482,2,15,1629278726.7837842,1629278548.4986231,1629278598.7042575,-1.6529682313169662,45.22429273075335,239.9206539112156,-4.17440465227,2.2257582486,-1.194511303385,0.35,0.22,1.67680410618e-06,77816.18704492188,0.3815160603722453,-115.4676836098562,-78.2254962242902,-1.8503007139733483,-17.605738660513982,-4.479851568870283,41.449776560329475,15.378439509939065
2021-08-18 09:28:15.819000+00:00,AT_O_20210817_000484,AT_O_20210817_000485,AT_O_20210817_000486,AT_O_20210817_000487,2,15,1629279090.9633126,1629278873.1720965,1629278923.3660483,-0.5490510232624365,51.71558817764453,240.05086382173468,-4.08526506505,2.27346578688,-1.20621917939,0.350000478597,0.2199991205,-5.72549173673e-07,88174.9495437012,-25.669417711490944,-93.99332441409761,-99.22236670652707,-1.0419852050655296,1.5845134275113437,-13.597223213451453,28.825066638601353,15.476064240063678
2021-08-18 09:34:05.667000+00:00,AT_O_20210817_000489,AT_O_20210817_000490,AT_O_20210817_000491,AT_O_20210817_000492,2,15,1629279395.810723,1629279223.0256376,1629279273.2506835,-0.5735518447938375,59.64163146456384,240.81368582688503,-4.00147031577,2.27815418525,-1.22330603091,0.350000268738,0.220000538426,-4.38583547645e-08,99760.15787646484,-9.675056570521297,-83.94826450216826,-108.08753421747785,2.688029649351087,12.577081090220782,-1.744605896750586,14.951861023221193,12.319306277020639
2021-08-18 09:39:07.357000+00:00,AT_O_20210817_000494,AT_O_20210817_000495,AT_O_20210817_000496,AT_O_20210817_000497,2,15,1629279773.5117755,1629279524.7131913,1629279575.1008313,-0.7948203287906282,67.9972058764163,239.87350078192043,-3.93923561465,2.27321040146,-1.2395782299,0.350000189583,0.219999870657,-1.90709707595e-07,109938.41794409658,14.542483691272661,-66.33083827862261,-144.64326076805227,-2.9840891178137112,-7.698129957373576,22.6186821764157,15.267879676158909,12.75233038089292
2021-08-18 09:49:36.096000+00:00,AT_O_20210817_000501,AT_O_20210817_000502,AT_O_20210817_000503,AT_O_20210817_000504,2,15,1629280339.3415277,1629280153.4586046,1629280203.9153702,-3.4563621343410227,75.475172502306,223.57711434367,-3.84806986127,2.30470986563,-1.26376386058,0.350000277383,0.219999914699,4.86972030243e-07,116807.01432080076,8.442349374610576,-54.06449857160063,-194.82865847035666,9.191667138865665,5.370215247402392,19.644868749600413,33.040138383138725,9.399011770454067
