,intra,extra,inFocus2s,inFocus20s,inFocusExpTime2s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-08-17 23:34:44.513000+00:00,AT_O_20210817_000154,AT_O_20210817_000155,AT_O_20210817_000156,AT_O_20210817_000157,2,15,1629243565.963257,1629243261.8777559,1629243311.68681,5.4067496366859995,39.08311410984257,38.849122507606225,-3.94138242933,2.2630966805,-1.17751668682,0.349999964671,0.21999981182,-1.58991913669e-07,67162.5119602051
2021-08-17 23:52:31.762000+00:00,AT_O_20210817_000167,AT_O_20210817_000168,AT_O_20210817_000169,AT_O_20210817_000170,2,15,1629244530.0174458,1629244329.1141145,1629244379.771339,4.151473041892328,47.17137543260241,41.60641534346688,-4.04215686917,2.22242358848,-1.18968310255,0.350000174732,0.220000174923,1.42164615836e-07,80989.82184350585
2021-08-18 00:09:14.384000+00:00,AT_O_20210817_000179,AT_O_20210817_000180,AT_O_20210817_000181,AT_O_20210817_000182,2,15,1629245580.7577689,1629245331.7347589,1629245381.9353628,5.159839989995817,58.56070650657348,40.64021193210326,-4.05840512037,2.27997703916,-1.2190039794,0.35000039398,0.220000760167,-1.61055401286e-06,98393.1151604004
2021-08-18 00:17:20.664000+00:00,AT_O_20210817_000184,AT_O_20210817_000185,AT_O_20210817_000186,AT_O_20210817_000187,2,15,1629246058.0598023,1629245818.0287719,1629245868.6990917,1.6074848359575673,65.48222858782039,43.31077496778687,-3.96262083697,2.2893402362,-1.23305147827,0.350000761701,0.220000159721,4.65664624799e-07,107133.6458413086
2021-08-18 00:23:46.573000+00:00,AT_O_20210817_000189,AT_O_20210817_000190,AT_O_20210817_000191,AT_O_20210817_000192,2,15,1629246401.4965065,1629246203.9334714,1629246254.1032808,0.8566024176758947,70.14675284762866,42.96561501448043,-3.94808677072,2.3643629035,-1.23822552628,0.350000302624,0.219999891661,0.0,112041.04645684936
2021-08-18 00:42:57.649000+00:00,AT_O_20210817_000203,AT_O_20210817_000204,AT_O_20210817_000205,AT_O_20210817_000206,2,15,1629247649.8216395,1629247355.0001736,1629247405.1292121,13.20909261321649,79.27125245172705,31.749225230260926,-3.75391479402,2.2816320777,-1.26790784282,0.3499998003475,0.220000513615,-4.57172633968e-07,119577.79549707028
2021-08-18 00:55:10.568000+00:00,AT_O_20210817_000211,AT_O_20210817_000212,AT_O_20210817_000213,AT_O_20210817_000214,2,15,1629248258.1283202,1629248087.9335177,1629248138.1328588,10.743975641505967,84.31864982683328,31.205404571935944,-3.62018404348,2.16646616329,-1.27285550254,0.350000678769,0.220000346284,2.27251432722e-07,121604.82113922712
2021-08-18 01:15:45.913000+00:00,AT_O_20210817_000216,AT_O_20210817_000217,AT_O_20210817_000218,AT_O_20210817_000219,2,2,1629250053.5201902,1629249323.2753546,1629249373.3075619,2.8566901497554498,75.41889221210208,18.668812663602,-3.49650163064,2.09989572254,-1.27927303056,0.34999928057,0.22,8.19728463775e-07,116811.43295971678
2021-08-18 01:30:52.176000+00:00,AT_O_20210817_000222,AT_O_20210817_000223,AT_O_20210817_000224,AT_O_20210817_000225,2,15,1629250548.820238,1629250229.5422647,1629250279.5717604,16.470217717348422,76.06638965446648,4.198021442160535,-3.61601623746,2.12454407937,-1.26782063494,0.349999400824,0.219999662906,-7.91084977191e-08,117451.08354565427
2021-08-18 01:42:35.081000+00:00,AT_O_20210817_000229,AT_O_20210817_000230,AT_O_20210817_000231,AT_O_20210817_000232,2,15,1629251188.6569867,1629250932.4416556,1629250983.0175316,2.4880852155410684,65.91622209390248,43.62283777122502,-3.78038147615,2.24375120356,-1.24821348832,0.350000151283,0.219999614458,1.41748404666e-09,107651.61759081077
2021-08-18 01:52:43.074000+00:00,AT_O_20210817_000235,AT_O_20210817_000236,AT_O_20210817_000237,AT_O_20210817_000238,2,2,1629251833.003337,1629251540.4330602,1629251590.5936944,1.9634328208869556,56.3233790053954,42.49128794197983,-3.89573208758,2.23407946346,-1.22647706209,0.349999424469,0.220000395228,6.52433875758e-07,95133.16961499023
2021-08-18 02:08:38.998000+00:00,AT_O_20210817_000246,AT_O_20210817_000247,AT_O_20210817_000248,AT_O_20210817_000249,2,15,1629252728.8190749,1629252496.3639984,1629252547.2582164,3.359731914413358,46.48839865203441,41.83918028176498,-3.78528626218,2.2233254348,-1.1988638321899998,0.35,0.219999958234,-2.04095894797e-08,79859.28646599264
2021-08-18 02:25:31.078000+00:00,AT_O_20210817_000259,AT_O_20210817_000260,AT_O_20210817_000261,AT_O_20210817_000262,2,15,1629253747.513048,1629253508.4307826,1629253559.4167008,4.002959225156719,37.22630454880538,42.47799554275573,-4.00888917609,2.25242631699,-1.18948585859,0.349999588108,0.22000014602,2.55149558799e-07,63675.10346488203
