,inFocus20s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-08-18 10:12:13.561000+00:00,AT_O_20210817_000525,15,1629281533.5600748,1629281515.9334805,1629281533.5600748,0.22815603196881162,35.95873952455997,40.32899964364889,-4.17433257318,2.3611565307,-1.18130131368,0.349999094033,0.220002761818,1.02675866298e-06,61035.66464572483
2021-08-18 10:12:52.521000+00:00,AT_O_20210817_000526,15,1629281572.520084,1629281554.8728666,1629281572.520084,0.22863856662982418,41.06488501868101,39.94769949229735,-4.20320837341,2.36116079164,-1.19617328378,0.350000044823,0.220000347147,-1.57122281321e-06,70636.73577609593
2021-08-18 10:13:31.559000+00:00,AT_O_20210817_000527,15,1629281611.5587626,1629281593.9334567,1629281611.5587626,0.23161120365736731,46.82948592497354,39.485007708394896,-4.19666816013,2.3611534664,-1.21186556037,0.349998008477,0.219999413215,1.19483645162e-06,80438.74977145724
2021-08-18 10:14:10.219000+00:00,AT_O_20210817_000528,15,1629281650.2180421,1629281632.5777407,1629281650.2180421,0.23122474204351687,52.167133641760515,39.19312951302324,-4.16114537613,2.36116110561,-1.22522423505,0.35000110756,0.219999819784,-8.82327491603e-07,88912.48350219727
2021-08-18 10:14:49.396000+00:00,AT_O_20210817_000529,15,1629281689.395581,1629281671.7653058,1629281689.395581,0.2400487509795413,58.22823132912728,39.297724494575554,-4.0999704887,2.36116095998,-1.2382510736,0.350000671407,0.220000128988,-4.37506567319e-07,97804.00071139865
2021-08-18 10:15:28.068000+00:00,AT_O_20210817_000530,15,1629281728.0667408,1629281710.4305553,1629281728.0667408,0.2535765963265375,63.57639390567702,38.97892989639271,-4.03531419878,2.36115728025,-1.24824159114,0.349998820451,0.220000294876,-1.25194208403e-07,104791.64564480253
2021-08-18 10:16:07.355000+00:00,AT_O_20210817_000531,15,1629281767.3547556,1629281749.7230206,1629281767.3547556,0.2670705787814869,69.3455822104184,40.58716886166965,-3.96612261537,2.36115549588,-1.25698203463,0.349998583337,0.219999927276,8.76153992646e-07,111282.60283338759
2021-08-18 10:16:45.871000+00:00,AT_O_20210817_000532,15,1629281805.8696508,1629281788.222879,1629281805.8696508,0.30215156301144613,74.63781208633252,40.317793964587004,-3.90976828519,2.36115479415,-1.26319604087,0.350000155473,0.220001174436,2.41300184848e-06,116201.16817914178
2021-08-18 10:17:24.904000+00:00,AT_O_20210817_000533,15,1629281844.9036217,1629281827.2710721,1629281844.9036217,0.39310981556223445,79.86538112997044,38.986645717660494,-3.86641104158,2.36115838414,-1.26758005013,0.349999996081,0.220000751501,8.90086089346e-07,119769.62136086856
2021-08-18 10:18:43.467000+00:00,AT_O_20210817_000534,15,1629281923.4666076,1629281905.8189192,1629281923.4666076,0.3505384522116704,80.03766716359921,37.597161262474806,-3.86540419214,2.36115850261,-1.2676800698,0.350000322946,0.220000050173,1.71076380317e-06,119791.40512695313
2021-08-18 10:19:28.521000+00:00,AT_O_20210817_000535,15,1629281968.5204172,1629281950.8780432,1629281968.5204172,0.32172169107707305,69.04328511309723,39.83896361154257,-3.96941355752,2.36115483925,-1.25659758299,0.350001189407,0.219999528731,6.78969839535e-07,110975.9866990831
2021-08-18 10:20:13.522000+00:00,AT_O_20210817_000536,15,1629282013.5214136,1629281995.8739393,1629282013.5214136,0.28168384022228565,57.871632661945114,39.474226408198774,-4.1030805009,2.36115310391,-1.23770384999,0.350000731014,0.220000253392,-8.72490336903e-07,97492.47497829862
2021-08-18 10:20:52.363000+00:00,AT_O_20210817_000537,15,1629282052.3622832,1629282034.733588,1629282052.3622832,0.23672551884616647,52.08117525617612,39.320701563596636,-4.16173708508,2.36115575399,-1.22506113992,0.349999772752,0.220000218904,-2.56942012191e-07,88837.55367296007
2021-08-18 10:21:31.962000+00:00,AT_O_20210817_000538,15,1629282091.9608016,1629282074.3206968,1629282091.9608016,0.231277211935776,46.68467681137736,39.3473392580845,-4.19640884747,2.36115975531,-1.21202308467,0.349999862204,0.220001394594,9.11788122531e-07,80269.01792738173
