,message,level,elevationCalculatedAngle1,times,position0,position1,position2,position3,position4,position5,pressure,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-08-09 16:05:04.573000+00:00,"Starting Test1, Nominal LUT",20,80.00203227836755,1628525104.5111597,-0.152,0.05,0.081,11.878,,5.0,116372.22025146485,-0.0,-0.0,0.0,0.0,0.0
2021-08-09 16:05:51.936000+00:00,"az,el,pos0,pos1,pos2 = 0, 83, -0.204, 0.04, 0.081, 11.878, 4.999",20,83.00004324156907,1628525151.9113111,-0.204,0.04,0.081,11.878,,4.999,117157.0546875,0.2658202857242194,0.12371283311186812,-0.00033353325872571816,-0.051210003156634806,-0.009848077530122082
2021-08-09 16:06:31.305000+00:00,"az,el,pos0,pos1,pos2 = 0, 76, -0.172, 0.039, 0.082, 11.88, 5.003",20,75.9999926968303,1628525191.2114334,-0.172,0.039,0.082,11.88,,5.003,114627.90993652344,-0.2914284814992911,-0.4155019934247581,0.0020006714695393253,-0.01969615506024415,-0.01083288528313429
2021-08-09 16:07:26.393000+00:00,"az,el,pos0,pos1,pos2 = 0, 69, -0.172, 0.039, 0.082, 11.88, 5.003",20,68.99999758441118,1628525246.31161,-0.12,0.052,0.084,11.88,,5.005,110400.74537353516,-0.7718526613937045,-0.07934933902226678,0.003333461565363551,0.031513848096390656,0.001969615506024411
2021-08-09 16:09:25.675000+00:00,Read historical data in 0.00 sec,20,68.99999758441118,1628525365.6120014,-0.12,0.052,0.084,11.88,,5.005,110489.11815185547,-0.7718526613937045,-0.07934933902226678,0.003333461565363551,0.031513848096390656,0.001969615506024411
2021-08-09 16:09:41.291000+00:00,"Starting Test1, Nominal LUT",20,69.00000205475953,1628525381.212047,-0.12,0.052,0.084,11.88,,5.005,110356.558984375,-0.7718526613937045,-0.07934933902226678,0.003333461565363551,0.031513848096390656,0.001969615506024411
2021-08-09 16:09:50.808000+00:00,"az,el,pos0,pos1,pos2 = 0, 83, -0.12, 0.052, 0.084, 11.88, 5.005",20,70.48120951492456,1628525390.7120833,-0.12,0.052,0.084,11.88,,5.005,110379.70423583985,-0.7718526613937045,-0.07934933902226678,0.003333461565363551,0.031513848096390656,0.001969615506024411
2021-08-09 16:10:14.637000+00:00,"az,el,pos0,pos1,pos2 = 0, 76, -0.132, 0.047, 0.082, 11.88, 5.003",20,76.00000700194505,1628525414.2121668,-0.132,0.047,0.082,11.88,,5.003,114388.04096679688,-0.2914284814992911,-0.4155019934247581,0.0020006714695393253,0.01969615506024415,-0.0029544232590366266
2021-08-09 16:10:33.700000+00:00,"az,el,pos0,pos1,pos2 = 0, 69, -0.12, 0.051, 0.084, 11.88, 5.004",20,68.99992292960815,1628525433.202218,-0.12,0.051,0.084,11.88,,5.004,110335.5178466797,-0.5060323756719255,0.044363494089611405,0.002999928306637833,0.031513848096390656,0.0009848077530122022
2021-08-09 16:10:54.002000+00:00,"az,el,pos0,pos1,pos2 = 0, 62, -0.082, 0.075, 0.087, 11.879, 5.003",20,61.99996492108039,1628525453.9322882,-0.082,0.075,0.087,11.879,,5.003,105453.9739013672,-0.40359959257151673,1.2115201353292233,0.0033313754633837772,0.06893654271085456,0.024620193825305194
