,message,level,elevationCalculatedAngle1,times,position0,position1,position2,position3,position5,pressure,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-08-19 23:21:50.803000+00:00,"az,el,pos0,pos1,pos2 = 0, 43, -0.01, 0.131, 0.055, 11.872, 4.985",20,43.0000241680973,1629415310.7805119,-0.01,0.131,0.055,11.872,4.985,49627.62736816407,-0.0,-0.0,0.0,0.0,0.0
2021-08-19 23:22:15.129000+00:00,"az,el,pos0,pos1,pos2 = 0, 38, 0.006, 0.142, 0.061, 11.872, 4.983",20,38.00000211439328,1629415335.080599,0.006,0.142,0.061,11.872,4.983,49476.131176757815,0.6852897460982367,1.998160628041375,0.0013301042176678192,0.015756924048195328,0.01083288528313427
2021-08-19 23:22:40.795000+00:00,"az,el,pos0,pos1,pos2 = 0, 33, 0.021, 0.152, 0.069, 11.872, 4.976",20,32.99999660096364,1629415360.7706904,0.021,0.152,0.069,11.872,4.976,49825.4140625,2.750897312210217,5.198463741292894,0.001658265720081024,0.030529040343378448,0.02068096281325636
2021-08-19 23:23:07.221000+00:00,"az,el,pos0,pos1,pos2 = 0, 28, 0.037, 0.157, 0.109, 12.137, 4.759",20,28.000016121484805,1629415387.1707792,0.037,0.157,0.109,12.137,4.759,49694.95900878906,125.11441563762887,-0.8245117681988259,0.031001332447366775,0.04628596439157378,0.025605001578317403
2021-08-19 23:23:33.074000+00:00,"az,el,pos0,pos1,pos2 = 0, 23, 0.05, 0.155, 0.403, 12.688, 4.336",20,22.999959199049044,1629415413.0708747,0.05,0.155,0.403,12.688,4.336,49760.186535644534,377.44166167650684,44.68197278328343,0.17159445862768435,0.059088465180732484,0.023635386072292985
2021-08-19 23:23:57.593000+00:00,"az,el,pos0,pos1,pos2 = 0, 18, 0.043, 0.146, 1.4, 13.22, 3.89",20,17.999937592365313,1629415437.5709522,0.043,0.146,1.4,13.22,3.89,49671.81375732422,649.3199885437411,301.3548693925815,0.5321796635657831,0.052194810909647026,0.014772116295183105
2021-08-19 23:24:21.825000+00:00,"az,el,pos0,pos1,pos2 = 0, 23, 0.066, 0.158, 0.496, 12.869, 4.273",20,23.000042347528506,1629415461.7710354,0.066,0.158,0.496,12.869,4.273,49606.586230468754,440.04804383262643,49.19045772136749,0.24192050605022009,0.0748453892289278,0.026589809331329612
2021-08-19 23:24:47.680000+00:00,"az,el,pos0,pos1,pos2 = 0, 28, 0.067, 0.167, 0.131, 12.316, 4.701",20,28.000003604509402,1629415487.6711204,0.067,0.167,0.131,12.316,4.701,49781.22767333985,184.0933030807603,-17.31546844921777,0.07869464922711064,0.07583019698194002,0.03545307910843949
2021-08-19 23:25:11.721000+00:00,"az,el,pos0,pos1,pos2 = 0, 33, 0.059, 0.169, 0.073, 11.882, 4.925",20,32.999996153928805,1629415511.6712031,0.059,0.169,0.073,11.882,4.925,49671.81375732422,18.812285514740452,10.994211589924172,-0.010684433797300375,0.06795173495784235,0.03742269461446391
2021-08-19 23:25:35.860000+00:00,"az,el,pos0,pos1,pos2 = 0, 38, 0.055, 0.167, 0.064, 11.879, 4.938",20,37.99999898513488,1629415535.7722886,0.055,0.167,0.064,11.879,4.938,49627.62736816407,14.405511797240308,7.264071305663194,-0.010345072392809983,0.06401250394579353,0.03545307910843949
2021-08-19 23:25:59.902000+00:00,"az,el,pos0,pos1,pos2 = 0, 43, 0.049, 0.162, 0.056, 11.876, 4.951",20,42.99998751125531,1629415559.0723684,0.049,0.162,0.056,11.876,4.951,49781.22767333985,10.024346262304466,3.825720176871386,-0.009672849199133065,0.05810365742772028,0.030529040343378448
2021-08-19 23:25:59.906000+00:00,Finished dip sequence for elevations of [43 38 33 28 23 18 23 28 33 38 43],20,42.99998751125531,1629415559.0723684,0.049,0.162,0.056,11.876,4.951,49781.22767333985,10.024346262304466,3.825720176871386,-0.009672849199133065,0.05810365742772028,0.030529040343378448
2021-08-19 23:25:59.909000+00:00,"End of Test16, Nominal LUT from m1_hex_20210810_v3.yaml:v0.8.2.alpha.2-0-g72c6e32, low elevation test ED",20,42.99998751125531,1629415559.0723684,0.049,0.162,0.056,11.876,4.951,49781.22767333985,10.024346262304466,3.825720176871386,-0.009672849199133065,0.05810365742772028,0.030529040343378448
