,message,level,elevationCalculatedAngle1,times,position0,position1,position2,position3,position5,pressure,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-08-17 17:42:39.299000+00:00,"az,el,pos0,pos1,pos2 = 0, 30, 0.112, 0.143, 0.097, 12.064, 4.738",20,30.0001125617855,1629222159.0240953,0.112,0.143,0.097,12.064,4.738,49126.84829101562,95.41576997415282,-5.130656124352842,-0.0023250419668460554,0.30233598017474783,0.1487059707048434
2021-08-17 17:42:58.652000+00:00,"az,el,pos0,pos1,pos2 = 0, 37, 0.105, 0.137, 0.095, 12.037, 4.73",20,37.00007012329297,1629222178.6241791,0.105,0.137,0.095,12.037,4.73,62942.459301757815,91.00539034059182,-0.18647094670225234,-0.014666365321395699,0.2954423259036624,0.14279712418677018
2021-08-17 17:43:19.334000+00:00,"az,el,pos0,pos1,pos2 = 0, 44, 0.091, 0.129, 0.092, 11.998, 4.715",20,44.00003170808486,1629222199.0242693,0.091,0.129,0.092,11.998,4.715,75908.00834960937,85.54759953110805,7.348830826785066,-0.033678542701266294,0.2816550173614915,0.1349186621626725
2021-08-17 17:43:38.403000+00:00,"az,el,pos0,pos1,pos2 = 0, 51, 0.069, 0.116, 0.089, 11.956, 4.702",20,51.00007420619659,1629222218.3143406,0.069,0.116,0.089,11.956,4.702,87215.51574707031,78.83753194640319,15.140935894677005,-0.05302446841994844,0.25998924679522295,0.12211616137351379
2021-08-17 17:43:57.759000+00:00,"az,el,pos0,pos1,pos2 = 0, 58, 0.041, 0.098, 0.088, 11.927, 4.69",20,57.99997186502151,1629222237.71443,0.041,0.098,0.088,11.927,4.69,97763.43807373047,75.03561709986042,21.207914173009726,-0.06703427292438977,0.23241462971088112,0.10438962181929407
2021-08-17 17:44:18.630000+00:00,"az,el,pos0,pos1,pos2 = 0, 65, 0.006, 0.076, 0.089, 11.913, 4.69",20,64.99996161300805,1629222258.614521,0.006,0.076,0.089,11.913,4.69,106588.09122314454,71.69825645865723,23.852771882551522,-0.0713718804644329,0.19794635835545382,0.08272385125302546
2021-08-17 17:44:39.693000+00:00,"az,el,pos0,pos1,pos2 = 0, 72, -0.041, 0.049, 0.09, 11.912, 4.702",20,72.00001394588617,1629222279.6146133,-0.041,0.049,0.09,11.912,4.702,114148.17199707031,68.29380952792064,22.82808338584709,-0.06737022452262689,0.15166039396388004,0.05613404192169586
2021-08-17 17:45:00.377000+00:00,"az,el,pos0,pos1,pos2 = 0, 79, -0.112, 0.018, 0.091, 11.904, 4.765",20,78.99999564726022,1629222298.2146895,-0.112,0.018,0.091,11.904,4.765,119357.95769042968,49.65104454006872,16.670574734633284,-0.04869360705043031,0.08173904350001326,0.025605001578317407
2021-08-17 17:45:00.381000+00:00,Finished dip sequence for elevations of [83 76 69 62 55 48 41 34 27 20 16 23 30 37 44 51 58 65 72 79],20,78.99999564726022,1629222298.2146895,-0.112,0.018,0.091,11.904,4.765,119357.95769042968,49.65104454006872,16.670574734633284,-0.04869360705043031,0.08173904350001326,0.025605001578317407
2021-08-17 17:45:00.384000+00:00,"End of Nominal LUT from m1_hex_20210810_v3.yaml:v0.8.2.alpha.2-0-g72c6e32, low elevation test",20,78.99999564726022,1629222298.2146895,-0.112,0.018,0.091,11.904,4.765,119357.95769042968,49.65104454006872,16.670574734633284,-0.04869360705043031,0.08173904350001326,0.025605001578317407
