,message,level,elevationCalculatedAngle1,times,position0,position1,position2,position3,position5,pressure,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-08-17 17:38:38.594000+00:00,"az,el,pos0,pos1,pos2 = 0, 83, -0.195, -0.008, 0.092, 11.882, 4.932",20,82.99999943215516,1629221918.553062,-0.195,-0.008,0.092,11.882,4.932,121318.99172363282,-0.0,-0.0,0.0,0.0,0.0
2021-08-17 17:38:59.468000+00:00,"az,el,pos0,pos1,pos2 = 0, 76, -0.153, 0.003, 0.091, 11.887, 4.921",20,75.99996185142663,1629221939.4531503,-0.153,0.003,0.091,11.887,4.921,117504.23345947266,4.099475396396865,0.2286703679091413,-0.0023337028747287443,0.041361925626512745,0.010832885283134287
2021-08-17 17:39:20.244000+00:00,"az,el,pos0,pos1,pos2 = 0, 69, -0.102, 0.032, 0.091, 11.881, 4.956",20,68.9999685271614,1629221959.6532364,-0.102,0.032,0.091,11.881,4.956,111229.76619873047,-6.645507140807431,-3.0928208275643487,0.007338331468140361,0.09158712103013536,0.03939231012048832
2021-08-17 17:39:41.118000+00:00,"az,el,pos0,pos1,pos2 = 0, 62, -0.065, 0.055, 0.09, 11.878, 4.958",20,62.00001320084266,1629221981.023329,-0.065,0.055,0.09,11.878,4.958,102905.89212646485,-7.923392176280226,-3.12780667248885,0.006671721340141368,0.12802500789158705,0.06204288843976911
2021-08-17 17:40:02.084000+00:00,"az,el,pos0,pos1,pos2 = 0, 55, -0.034, 0.073, 0.09, 11.876, 4.959",20,55.000019876562874,1629222002.023413,-0.034,0.073,0.09,11.876,4.959,93447.90073242188,-8.669636640694266,-2.9153668512430966,0.006338044694690866,0.1585540482349655,0.07976942799398884
2021-08-17 17:40:22.861000+00:00,"az,el,pos0,pos1,pos2 = 0, 48, -0.006, 0.088, 0.089, 11.874, 4.954",20,47.99998497804336,1629222022.8235137,-0.006,0.088,0.089,11.874,4.954,82881.04138183594,-7.846567589066255,-2.2524391916990223,0.003670306707700993,0.18612866531930733,0.09454154428917197
2021-08-17 17:40:42.311000+00:00,"az,el,pos0,pos1,pos2 = 0, 41, 0.017, 0.101, 0.087, 11.873, 4.946",20,40.99998360715108,1629222041.6235828,0.017,0.101,0.087,11.873,4.946,70807.63657226563,-6.011433786854939,-1.6782385202817782,2.712107434792949e-06,0.20877924363858813,0.10734404507833069
2021-08-17 17:41:01.666000+00:00,"az,el,pos0,pos1,pos2 = 0, 34, 0.037, 0.112, 0.085, 11.873, 4.939",20,33.99995675525861,1629222061.6236732,0.037,0.112,0.085,11.873,4.939,57233.998645019536,-4.20190817945651,-1.3958270091413543,-0.0029977442820174273,0.22847539869883227,0.11817693036146495
2021-08-17 17:41:22.730000+00:00,"az,el,pos0,pos1,pos2 = 0, 27, 0.054, 0.121, 0.082, 11.872, 4.931",20,26.99995404324727,1629222082.72376,0.054,0.121,0.082,11.872,4.931,42656.69844970703,-2.392382571411081,-1.1134154979957538,-0.006998200671469577,0.2452171305000398,0.12704020013857484
2021-08-17 17:41:43.321000+00:00,"az,el,pos0,pos1,pos2 = 0, 20, 0.064, 0.128, 0.078, 11.869, 4.941",20,19.99994015536504,1629222102.8238492,0.064,0.128,0.078,11.869,4.941,24765.419067382812,-5.873654480121637,-3.013471488559416,-0.005995130097223342,0.25506520803016186,0.1339338544096603
2021-08-17 17:42:00.781000+00:00,"az,el,pos0,pos1,pos2 = 0, 16, 0.087, 0.113, 1.548, 13.545, 3.572",20,15.999251066081342,1629222120.7239285,0.087,0.113,1.548,13.545,3.572,83707.95809326172,798.2698417500343,313.58329671785236,0.5858265685108764,0.2777157863494427,0.11916173811447717
2021-08-17 17:42:20.045000+00:00,"az,el,pos0,pos1,pos2 = 0, 23, 0.087, 0.111, 1.597, 13.625, 3.453",20,23.000158576585818,1629222140.0240133,0.087,0.111,1.597,13.625,3.453,152238.94356689454,850.3733920888751,329.1566487256,0.5891347345596977,0.2777157863494427,0.11719212260845274
