,intra,extra,inFocus5s,inFocusExpTime5s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,filter,rot_pos,el,az,x,y,z,u,v,w,m1
2022-02-10 02:29:19.993000+00:00,AT_O_20220209_000254,AT_O_20220209_000255,AT_O_20220209_000256,5.0,1644460280.547419,1644460174.297559,1644460225.5417347,SDSSi,1.5280879867895434,62.06924273353127,99.11249293104743,-3.84262661248,2.16155225047,-1.14720851987,0.350000264793,0.22,5.04108857254e-07,102263.18851270489
2022-02-10 02:34:20.548000+00:00,AT_O_20220209_000257,AT_O_20220209_000258,AT_O_20220209_000259,5.0,1644460576.7147741,1644460474.8463063,1644460525.9839694,SDSSr,2.228120451884024,63.13910921675835,98.80899530896343,-3.84900464886,2.25790487235,-1.14441726749,0.350000397927,0.220000531673,-1.37421726482e-06,103788.8772812787
2022-02-10 02:38:37.396000+00:00,AT_O_20220209_000260,AT_O_20220209_000261,AT_O_20220209_000262,5.0,1644460838.5472717,1644460731.6996324,1644460782.5075803,empty_1,2.830220119965459,64.05552461409117,98.549598087091,-3.8403912415,2.25790360244,-1.1305481576,0.35,0.220001230242,-1.94741194558e-07,104769.0229836857
2022-02-10 02:54:17.460000+00:00,AT_O_20220209_000265,AT_O_20220209_000266,AT_O_20220209_000267,5.0,1644461774.4210305,1644461671.7639182,1644461722.4332237,SDSSg,5.009940832902965,67.4130135302922,97.64599855312667,-3.81348564045,2.13376257165,-1.1544970409,0.350000263118,0.220000386008,1.09227660886e-06,108753.38932052313
2022-02-10 03:09:38.636000+00:00,AT_O_20220209_000273,AT_O_20220209_000274,AT_O_20220209_000275,5.0,1644462694.2626219,1644462592.939096,1644462643.3036823,SDSSg,7.132531926962067,70.71666802218733,96.81066170315728,-3.61941269974,1.996399482625,-1.16117359708,0.35000070975,0.220000034535,-2.469991701165e-07,111936.11719116209
2022-02-10 03:24:30.207000+00:00,AT_O_20220209_000280,AT_O_20220209_000281,AT_O_20220209_000282,5.0,1644463579.650138,1644463484.5146828,1644463535.7873309,SDSSg,9.127033888466208,73.91249935957974,96.07823359596631,-3.8072505013,2.10650458045,-1.16797007455,0.350000181674,0.219999834371,2.46622478945e-07,114970.39491624103
2022-02-10 03:33:34.781000+00:00,AT_O_20220209_000287,AT_O_20220209_000288,AT_O_20220209_000289,5.0,1644464121.9242094,1644464029.0763457,1644464080.0181377,SDSSg,10.313075150615381,75.87206462391495,95.67762731610199,-3.60428278862,2.27697828858,-1.16950968481,0.349999373764,0.219999652046,-3.50650258045e-07,116685.65068885955
2022-02-10 03:38:09.745000+00:00,AT_O_20220209_000290,AT_O_20220209_000291,AT_O_20220209_000292,5.0,1644464417.8612106,1644464304.0533345,1644464356.351523,SDSSg,10.885355581019281,76.86136774501435,95.50324855648124,-3.59627399489,2.27697458781,-1.17409694949,0.350000158782,0.219999000079,2.36858483541e-06,117321.49927133415
2022-02-10 03:50:32.950000+00:00,AT_O_20220209_000301,AT_O_20220209_000302,AT_O_20220209_000303,5.0,1644465157.7153199,1644465047.2332952,1644465098.5012891,SDSSg,12.298542770342252,79.52823660494167,95.1689695608805,-3.73788750997,1.96171362356,-1.1680532391,0.350000079702,0.220000167045,-2.25027300888e-08,119130.83717471853
2022-02-16 00:23:22.974000+00:00,AT_O_20220215_000075,AT_O_20220215_000076,AT_O_20220215_000077,5.0,1644971128.4047503,1644971007.2762127,1644971077.7666001,empty_1,0.7030678115822541,61.2009841060083,100.61999008265411,-3.73576875627,2.20234204889,-1.13422718455,0.350000022384,0.220000305341,0.0,101476.17687883652
2022-02-16 00:28:03.521000+00:00,AT_O_20220215_000078,AT_O_20220215_000079,AT_O_20220215_000080,5.0,1644971410.5615184,1644971287.822313,1644971358.0298793,SDSSg,1.02550212517942,60.17826255997269,33.55915323534074,-3.57407411067,2.2203649733,-1.15065003607,0.350000110776,0.220000923712,-6.60465711335e-07,100771.74964756558
2022-02-16 00:53:41.651000+00:00,AT_O_20220215_000085,AT_O_20220215_000086,AT_O_20220215_000087,5.0,1644972947.9529433,1644972825.9543295,1644972896.384695,empty_1,0.8032844711275866,61.35213435250974,100.45703744908617,-3.69582883448,2.08569866307,-1.136357322,0.350000241749,0.2199995898665,8.6203660611e-07,101595.26971819194
2022-02-16 01:13:09.658000+00:00,AT_O_20220215_000101,AT_O_20220215_000102,AT_O_20220215_000103,5.0,1644974118.229507,1644973993.9654434,1644974065.39123,SDSSg,-0.6984948899478465,56.363520955209026,-138.32764182795736,-3.77367429544,2.10634620727,-1.13934393728,0.349999666106,0.219999666795,2.10389958526e-07,94978.12488016477
2022-02-16 02:19:29.021000+00:00,AT_O_20220215_000133,AT_O_20220215_000134,AT_O_20220215_000135,5.0,1644978098.2258778,1644977973.3283858,1644978044.6245801,SDSSg,-0.2702368992695611,47.52794886904016,-89.88469716912553,-3.82696566702,2.07937274144,-1.1250999852,0.350000082294,0.22,-8.86799085583e-08,81510.07790166292
2022-02-16 04:12:07.179000+00:00,AT_O_20220215_000278,AT_O_20220215_000279,AT_O_20220215_000280,5.0,1644984855.7290237,1644984731.4729972,1644984802.0984786,SDSSg,-0.5742741688496915,41.56917983513759,210.79969094589705,-3.84574302778,2.11183081561,-1.12771325526,0.349999058486,0.219999411408,-8.72937028646e-07,71318.28423934722
2022-02-16 05:59:58.393000+00:00,AT_O_20220215_000392,AT_O_20220215_000393,AT_O_20220215_000394,5.0,1644991323.4046853,1644991202.693124,1644991273.3892283,SDSSg,1.3600766283400934,66.98938043739378,76.8739757162224,-3.92392523669,2.12088387755,-1.16355667544,0.349999789685,0.220000285396,1.11005464701e-06,108388.59026635393
2022-02-17 00:54:09.730000+00:00,AT_O_20220216_000079,AT_O_20220216_000080,AT_O_20220216_000081,5.0,1645059375.0661914,1645059254.0356472,1645059324.5469506,empty_1,-1.1086349486136378,58.30137800160238,-91.26472663954233,-3.8532209158,2.2418551368,-1.1101831367,0.349999223897,0.220000194209,-6.02380130035e-07,97739.57141183037
2022-02-17 00:58:17.723000+00:00,AT_O_20220216_000084,AT_O_20220216_000085,AT_O_20220216_000086,5.0,1645059623.0066242,1645059502.0203395,1645059572.6072888,SDSSg,-0.6756072852103638,56.6196451788606,-93.27973708797758,-3.72553956475,2.1769666334,-1.14278465792,0.349999662373,0.219999567529,2.97279377843e-07,95268.89096487856
2022-02-17 02:53:21.360000+00:00,AT_O_20220216_000259,AT_O_20220216_000260,AT_O_20220216_000261,5.0,1645066529.4496005,1645066405.6671612,1645066475.9258869,SDSSg,-0.9706626150133421,30.474715058849167,251.41444670103374,-3.79202532058,2.13783441507,-1.09798951467,0.349999787517,0.21999965995999998,5.056112979335e-07,50093.288490144965
2022-02-17 03:03:44.413000+00:00,AT_O_20220216_000268,AT_O_20220216_000269,AT_O_20220216_000270,5.0,1645067153.7675593,1645067028.7118924,1645067099.218608,SDSSg,-2.380677633474681,29.512256242547384,176.90624125085506,-3.80475451642,2.14537605528,-1.1051913578449999,0.350000290184,0.2200000132855,7.84815345511e-07,47760.833923511775
2022-02-17 03:09:20.315000+00:00,AT_O_20220216_000273,AT_O_20220216_000274,AT_O_20220216_000275,5.0,1645067485.563506,1645067364.6171978,1645067435.7189002,SDSSg,3.8136694058091347,74.88377631054293,22.223767043226626,-3.85639555403,2.19869264251,-1.18603243521,0.35,0.22000137875,8.2223042111e-07,115934.94984767002
2022-02-17 04:14:43.362000+00:00,AT_O_20220216_000368,AT_O_20220216_000369,AT_O_20220216_000370,5.0,1645071413.3160262,1645071287.6715302,1645071360.919242,SDSSg,1.298356249140901,70.57986568117663,-46.033442222320744,-3.94011993956,2.24631102829,-1.1828210505649999,0.3499999315,0.22000002979,-5.43924442692e-07,112116.9344922865
2022-02-17 04:59:41.122000+00:00,AT_O_20220216_000428,AT_O_20220216_000429,AT_O_20220216_000430,5.0,1645074108.1825542,1645073985.4242542,1645074056.0877166,SDSSg,0.25986699174624756,62.531293608864125,-64.54134408402433,-3.81115021084,2.19995812017,-1.16315748953,0.350000249816,0.22,7.38797207046e-07,103026.59713186345
2022-02-17 05:12:04.151000+00:00,AT_O_20220216_000442,AT_O_20220216_000443,AT_O_20220216_000444,5.0,1645074850.7032008,1645074728.4463384,1645074798.386207,SDSSg,-3.4660477764842135,27.954309530048963,-181.31606833436382,-3.84331011525,2.15542620849,-1.09925997587,0.350000486534,0.220000217579,9.09362498644e-07,44485.654255719885
